sno,present,custom_number,name,author,publisher,publishing_year,price,categories,
98,,98,ஈழவேந்தன் சங்கிலி,கௌதம நீலாம்பரன்,சாரதா பதிப்பகம்,2006,50.00,வரலாற்று நாவல்,
99,,99,கலிங்க மோகினி,கௌதம நீலாம்பரன்,கங்கை புத்தகநிலையம்,1999,36.00,வரலாற்று நாவல்,
100,,100,கௌதம நீலாம்பரன் - தொகுப்பு 1,கௌதம நீலாம்பரன்,ஸ்ரீ செண்பகா பதிப்பகம்,2012,290.00,வரலாற்று நாவல்,
102,,102,கௌதம நீலாம்பரன் - தொகுப்பு 3,கௌதம நீலாம்பரன்,ஸ்ரீ செண்பகா பதிப்பகம்,2008,190.00,வரலாற்று நாவல்,
103,,103,சாணக்கியரின் காதல்,கௌதம நீலாம்பரன்,சாரதா பதிப்பகம்,2005,50.00,வரலாற்று நாவல்,
104,,104,சோழ வேங்கை,கௌதம நீலாம்பரன்,சாரதா பதிப்பகம்,2005,110.00,வரலாற்று நாவல்,
105,,105,நீலவேணி - 2,கௌதம நீலாம்பரன்,வானதி பதிப்பகம்,1987,30.00,வரலாற்று நாவல்,
106,,106,பல்லவன் தந்த அரியணை ,கௌதம நீலாம்பரன்,சாரதா பதிப்பகம்,2000,75.00,வரலாற்று நாவல்,
107,,107,பூ மரப்பாவை ,கௌதம நீலாம்பரன்,திருவரசு புத்தகநிலையம்,2011,60.00,வரலாற்று நாவல்,
108,,108,மன்னன் மாடத்து நிலவு,கௌதம நீலாம்பரன்,வானதி பதிப்பகம்,1995,30.00,வரலாற்று நாவல்,
109,,109,மாசிடோனிய மாவீரன்,கௌதம நீலாம்பரன்,நிவேதிதா பதிப்பகம்,2004,75.00,வரலாற்று நாவல்,
110,,110,விஜயநந்தினி,கௌதம நீலாம்பரன்,சாரதா பதிப்பகம்,2004,100.00,வரலாற்று நாவல்,
111,,111,வெற்றி மகுடம்,கௌதம நீலாம்பரன்,கங்கை புத்தகநிலையம்,1996,40.00,வரலாற்று நாவல்,
112,,112,வேங்கை விஜயம் ,கௌதம நீலாம்பரன்,கங்கை புத்தகநிலையம்,2004,75.00,வரலாற்று நாவல்,
113,,113,விக்ரமன் காதலி ,சரோஜாசண்முகம்,தமிழன் நிலையம்,1999,40.00,வரலாற்று நாவல்,
114,,114,கடல் புறா- 1,சாண்டில்யன்,வானதி பதிப்பகம்,2002,170.00,வரலாற்று நாவல்,
115,,115,கடல் புறா- 2,சாண்டில்யன்,வானதி பதிப்பகம்,2002,210.00,வரலாற்று நாவல்,
116,,116,கடல் புறா- 3,சாண்டில்யன்,வானதி பதிப்பகம்,2002,140.00,வரலாற்று நாவல்,
117,,117,கடல் ராணி,சாண்டில்யன்,வானதி பதிப்பகம்,2016,280.00,வரலாற்று நாவல்,
119,,119,கவர்ந்த கண்கள்,சாண்டில்யன்,வானதி பதிப்பகம்,2015,60.00,வரலாற்று நாவல்,
120,,120,நாக தேவி ,சாண்டில்யன்,வானதி பதிப்பகம்,2006,70.00,வரலாற்று நாவல்,
121,,121,நாக தீபம்,சாண்டில்யன்,வானதி பதிப்பகம்,2016,100.00,வரலாற்று நாவல்,
122,,122,நாக தீபம்,சாண்டில்யன்,வானதி பதிப்பகம்,2002,50.00,வரலாற்று நாவல்,
123,,123,நில மங்கை,சாண்டில்யன்,வானதி பதிப்பகம்,2010,25.00,வரலாற்று நாவல்,
124,,124,நீல ரதி,சாண்டில்யன்,பாரதி பதிப்பகம்,2005,150.00,வரலாற்று நாவல்,
125,,125,பல்லவ திலகம்,சாண்டில்யன்,வானதி பதிப்பகம்,2015,130.00,வரலாற்று நாவல்,
126,,126,மலை அரசி,சாண்டில்யன்,வானதி பதிப்பகம்,2016,110.00,வரலாற்று நாவல்,
127,,127,மலைவாசல்,சாண்டில்யன்,வானதி பதிப்பகம்,2006,120.00,வரலாற்று நாவல்,
128,,128,மலைவாசல்,சாண்டில்யன்,வானதி பதிப்பகம்,2016,200.00,வரலாற்று நாவல்,
129,,129,மலை அரசி,சாண்டில்யன்,வானதி பதிப்பகம்,2004,65.00,வரலாற்று நாவல்,
131,,131,மாதவியின் மனம்,சாண்டில்யன்,பாரதி பதிப்பகம்,2001,60.00,வரலாற்று நாவல்,
133,,133,மோகனச் சிலை ,சாண்டில்யன்,வானதி பதிப்பகம்,2016,200.00,வரலாற்று நாவல்,
134,,134,மோகினி வனம்,சாண்டில்யன்,வானதி பதிப்பகம்,2016,140.00,வரலாற்று நாவல்,
135,,135,யவனராணி - 1,சாண்டில்யன்,வானதி பதிப்பகம்,2016,270.00,வரலாற்று நாவல்,
136,,136,யவனராணி - 2,சாண்டில்யன்,வானதி பதிப்பகம்,2016,,வரலாற்று நாவல்,
137,,137,யவனராணி - 1,சாண்டில்யன்,வானதி பதிப்பகம்,2008,,வரலாற்று நாவல்,
139,,139,ராணா ஹமீர்,சாண்டில்யன்,வானதி பதிப்பகம்,1982,5.50,வரலாற்று நாவல்,
140,,140,ராணியின் கனவு,சாண்டில்யன்,வானதி பதிப்பகம்,1994,28.00,வரலாற்று நாவல்,
141,,141,ராஜ திலகம் ,சாண்டில்யன்,வானதி பதிப்பகம்,2016,,வரலாற்று நாவல்,
143,,143,ராஜ யோகம்,சாண்டில்யன்,வானதி பதிப்பகம்,2016,90.00,வரலாற்று நாவல்,
144,,144,ராஜ்ய ஸ்ரீ,சாண்டில்யன்,வானதி பதிப்பகம்,2016,135.00,வரலாற்று நாவல்,
145,,145,ராஜ்ய ஸ்ரீ,சாண்டில்யன்,வானதி பதிப்பகம்,2015,130.00,வரலாற்று நாவல்,
146,,146,ராஜா முத்திரை - 1,சாண்டில்யன்,#,,,வரலாற்று நாவல்,
148,,148,விலை ராணி,சாண்டில்யன்,வானதி பதிப்பகம்,2016,,வரலாற்று நாவல்,
149,,149,விலை ராணி  ,சாண்டில்யன்,குங்குமம் தொகுப்பு,1983,,வரலாற்று நாவல்,
150,,150,விஜய மகாதேவி - 1,சாண்டில்யன்,பாரதி பதிப்பகம்,2004,350.00,வரலாற்று நாவல்,
153,,153,ஜல தீபம்- 1 ,சாண்டில்யன்,வானதி பதிப்பகம்,2016,140.00,வரலாற்று நாவல்,
154,,154,ஜல தீபம்- 2,சாண்டில்யன்,வானதி பதிப்பகம்,2016,130.00,வரலாற்று நாவல்,
155,,155,ஜல தீபம்- 3,சாண்டில்யன்,வானதி பதிப்பகம்,2016,170.00,வரலாற்று நாவல்,
156,,156,ஜல மோகினி,சாண்டில்யன்,வானதி பதிப்பகம்,2016,130.00,வரலாற்று நாவல்,
157,,157,ஜீவ பூமி,சாண்டில்யன்,வானதி பதிப்பகம்,2017,100.00,வரலாற்று நாவல்,
158,,158,ஸ்ரீ ராமானுஜர்,சாண்டில்யன்,வானதி பதிப்பகம்,1991,24.00,வரலாற்று நாவல்,
160,,160,காந்தலூர் வசந்தகுமாரன் கதை,சுஜாதா,பாரதி பதிப்பகம்,2004,120.00,வரலாற்று நாவல்,
161,,161,விடிவதற்குள் வா!,சுஜாதா,விசா பப்ளிகேசன்,2006,,சமூக நாவல்,
163,,163,ஜெய ஜெய பவானி - 1,சௌரி,கங்கை புத்தகநிலையம்,1996,80.00,வரலாற்று நாவல்,
165,,165,கண்டராதித்தன் காதல்,டாக்டர் பூவண்ணன் ,வானதி பதிப்பகம்,2007,65.00,வரலாற்று நாவல்,
166,,166,குற்றால குறிஞ்சி,டாக்டர்.கோ.வி.மணிசேகரன்,பூம்புகார் பதிப்பகம் ,2012,275.00,வரலாற்று நாவல்,
167,,167,காஞ்சி கதிரவன்,டாக்டர்.கோ.வி.மணிசேகரன்,பூம்புகார் பதிப்பகம் ,2012,250.00,வரலாற்று நாவல்,
168,,168,ராஜ நட்பு,டாக்டர்.பாவண்ணன்,வானதி பதிப்பகம்,2005,80.00,வரலாற்று நாவல்,
169,,169,ஒற்றை செருப்புகள்,தா.மு.ஏ.ச,இந்தியன் வங்கி ஊழியர்,2001,30.00,சிறுகதைகள்,
170,,170,வீரவெங்கல ராஜா,தாமரை செந்தூர் பாண்டி,சிவசாமி புத்தக நிலையம்,1999,80.00,வரலாற்று நாவல்,
171,,171,தேன் மலைக்கன்னி,தாமரை மணாளன் ,திருவரசு புத்தகநிலையம்,2002,90.00,வரலாற்று நாவல்,
172,,172,பாமினி பாவை,தாமரை மணாளன்,கங்கை புத்தகநிலையம்,1997,70.00,வரலாற்று நாவல்,
174,,174,"தமிழக வரலாறு வரிசை- 1 
பாண்டியர் வரலாறு ",தி.வை.சதாசிவ பண்டாரத்தார்,அமிழ்தம் பதிப்பகம்,2008,130.00,வரலாறு,
175,,175,"தமிழக வரலாறு வரிசை- 2 
பிற்கால சோழர் சரித்திரம்-1",தி.வை.சதாசிவ பண்டாரத்தார்,அமிழ்தம் பதிப்பகம்,2008,185.00,வரலாறு,
176,,176,"தமிழக வரலாறு வரிசை- 3 
பிற்கால சோழர் சரித்திரம்-2",தி.வை.சதாசிவ பண்டாரத்தார்,அமிழ்தம் பதிப்பகம்,2008,275.00,வரலாறு,
177,,177,வம்சதாரா -2,திவாகர்,நர்மதா பதிப்பகம்,2003,100.00,வரலாற்று நாவல்,
178,,178,வம்சதாரா -1,திவாகர்,நர்மதா பதிப்பகம்,2003,100.00,வரலாற்று நாவல்,
181,,181,சேதுநாட்டு செல்லக்கிளி ,தென்னரசு,சீதை பதிப்பகம்,2012,80.00,வரலாற்று நாவல்,
